month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202201,35620,"new york-newark-jersey city, ny-nj-pa",1,675000,0.0166,0.0401,40031,-0.144,-0.1934,79,0.1618,-0.0706,15532,0.269,-0.1274,1120,0.0895,0.129,4740,-0.0618,-0.3158,25846,-0.0875,-0.0084,565,0.0614,0.256,1410,-0.0266,-0.082,1713536,0.0506,0.2636,65877,-0.1226,-0.1269,0.6456,0.04,0.1205,0
202201,31080,"los angeles-long beach-anaheim, ca",2,899000,0.0022,-0.1001,6201,-0.1466,-0.4063,44,-0.0112,-0.1852,7492,0.298,-0.1785,720,0.2081,0.1465,856,-0.277,-0.5348,8391,-0.2009,-0.2458,581,0.0194,0.0285,1706,-0.011,-0.0803,2438265,0.0603,0.0167,14442,-0.1871,-0.321,1.3532,-0.0919,0.2879,1
202201,16980,"chicago-naperville-elgin, il-in-wi",3,314900,0.0077,-0.0443,12585,-0.1848,-0.2994,60,0.1215,-0.0625,9716,0.2495,-0.2109,608,0.4615,-0.1828,2484,-0.2189,-0.3183,12733,-0.1453,-0.133,193,0.0134,0.013,1600,-0.0093,-0.0588,494700,0.0341,-0.0222,25292,-0.1662,-0.2296,1.0118,0.0467,0.1941,0
202201,19100,"dallas-fort worth-arlington, tx",4,400000,1.00E-04,0.1432,4910,-0.2147,-0.3894,43,0.0118,-0.1887,6496,-0.0116,-0.1689,984,0.1081,-0.503,1040,-0.3103,-0.5029,10876,-0.1337,0.0223,193,0.0173,0.1751,2116,-0.0133,-0.0131,598299,0.0213,0.0868,15837,-0.1579,-0.1522,2.2151,0.2071,0.892,0
202201,26420,"houston-the woodlands-sugar land, tx",5,357655,-0.0065,0.0838,12059,-0.1044,-0.2434,56,0.0874,-0.0667,9472,0.1787,0.0089,2664,0.7344,0.09,2928,-0.1202,-0.2129,12554,-0.1222,0.0454,170,0.0068,0.1318,2128,-0.0139,-0.0534,519234,-0.0043,0.0404,24673,-0.1115,-0.1202,1.041,-0.0211,0.2876,0
202201,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,299900,-2.00E-04,-0.0744,6917,-0.1724,-0.1256,65,0.1207,-0.0714,4820,0.0042,-0.1114,732,-0.0317,-0.1244,1624,-0.2354,-0.1992,9223,-0.1714,-0.038,195,0.0091,0.0399,1508,-0.0163,-0.0822,479692,0.0246,-0.0557,15921,-0.1831,-0.0859,1.3334,0.0016,0.1215,0
202201,47900,"washington-arlington-alexandria, dc-va-md-wv",7,500000,0,0.0225,4856,-0.2412,-0.2256,51,0.0625,0.02,5336,0.159,-0.1709,624,-0.0602,-0.3097,972,-0.3769,-0.3672,7327,-0.2065,-0.1643,302,0.027,0.0477,1610,-0.0316,-0.0325,811720,0.0572,-0.0136,12183,-0.2207,-0.1871,1.5089,0.066,0.1108,0
202201,33100,"miami-fort lauderdale-west palm beach, fl",8,499000,0.0081,0.2475,15526,-0.099,-0.5438,65,0.0833,-0.3085,10004,0.1047,-0.1848,1156,0.0704,0.0248,2352,-0.0531,-0.5931,16775,-0.0701,-0.0471,364,0.0275,0.1978,1366,-0.0069,0.0156,1460755,0.0428,0.3928,32591,-0.076,-0.3694,1.0804,0.0336,0.5631,0
202201,12060,"atlanta-sandy springs-roswell, ga",9,385900,-0.0104,0.0963,13416,-0.161,-0.2222,46,0.0824,-0.1481,13124,0.104,-0.0914,1240,0.058,-0.5303,3448,-0.083,-0.0701,22790,-0.0424,0.0112,184,0.0083,0.1195,2112,-0.0142,-0.0516,545479,0.0137,0.0716,36206,-0.0903,-0.0903,1.6987,0.2104,0.3921,0
202201,14460,"boston-cambridge-newton, ma-nh",10,724900,0.0438,0.0983,2826,-0.2393,-0.3336,58,0.1154,-0.0938,2528,0.2084,-0.253,96,-0.1429,-0.5,364,-0.4091,-0.4916,950,-0.2314,-0.2692,430,0.0421,0.072,1658,0.0052,-0.0054,1225745,0.0694,0.145,3706,-0.256,-0.3345,0.3362,0.0035,0.0296,0
202201,41860,"san francisco-oakland-hayward, ca",11,949000,-0.0052,-0.0462,2009,-0.1415,-0.3486,39,-0.1136,-0.1522,3232,0.8281,-0.03,96,0.0435,-0.1429,228,-0.1618,-0.5086,2463,-0.2929,-0.3198,703,0.0015,0.0245,1423,-0.022,-0.0213,1746953,-0.0518,-0.0103,4272,-0.2664,-0.3689,1.226,-0.2625,0.0519,0
202201,19820,"detroit-warren-dearborn, mi",12,210000,-0.0343,-0.16,5163,-0.1777,-0.0849,55,0.25,-0.0179,3556,0.0521,-0.0188,252,0.1887,-0.4474,1120,-0.3412,0.0219,1511,-0.1859,-0.1286,154,-0.0177,-0.0042,1413,-0.0091,-0.1,344377,-0.0109,-0.0931,6663,-0.1809,-0.0946,0.2927,-0.0029,-0.0147,1
202201,38060,"phoenix-mesa-scottsdale, az",13,495000,0.0185,0.1931,4533,-0.1733,-0.1018,40,0.0667,-0.1111,6368,0.0102,-0.1514,668,0.0705,-0.3128,1400,-0.2457,-0.0741,8740,-0.1106,-0.0581,262,0.0157,0.1893,1990,-0.003,-0.006,804557,0.0382,0.0289,13421,-0.1234,-0.0651,1.9281,0.1358,0.0896,0
202201,42660,"seattle-tacoma-bellevue, wa",14,695000,0.0373,0.086,1296,-0.2193,-0.4629,39,-0.037,-0.25,3152,0.2751,-0.1322,140,-0.0278,-0.5513,184,-0.4588,-0.5929,3771,-0.2423,-0.2904,400,0.0338,-0.0319,1797,0.002,0.0957,1018070,0.0754,0.0529,5040,-0.2406,-0.3378,2.9097,-0.0885,0.7075,0
202201,33460,"minneapolis-st. paul-bloomington, mn-wi",15,370000,0.0444,0.0346,3949,-0.2363,-0.1655,58,0.16,0.0357,3172,0.2449,-0.0875,448,1.4348,-0.0667,508,-0.4253,-0.2013,3922,-0.2421,-0.1549,202,0.0388,0.0807,1800,-0.0047,-0.0354,481982,0.0465,0.0019,7973,-0.2294,-0.1537,0.9932,-0.0076,0.0124,0
202201,40140,"riverside-san bernardino-ontario, ca",16,544000,-0.0096,0.1109,4110,-0.1602,-0.118,44,0.0353,-0.0638,4872,0.2131,-0.0049,512,0.0407,-0.1634,724,-0.3038,-0.2198,6654,-0.1469,-0.1715,296,0.0105,0.1568,1868,-0.0145,-0.0547,746873,0.0054,-0.0272,10744,-0.1537,-0.1448,1.619,0.0252,-0.1044,0
202201,45300,"tampa-st. petersburg-clearwater, fl",17,384900,0.0237,0.2873,3415,-0.1683,-0.4373,44,0.0476,-0.2281,5072,0.0177,-0.0516,396,0.1124,-0.5892,880,-0.3272,-0.5483,8577,-0.0441,-0.0061,230,0.0277,0.2927,1623,-0.0061,-0.0104,618347,0.0464,0.2714,11992,-0.0831,-0.1842,2.5116,0.3262,1.0896,0
202201,41740,"san diego-carlsbad, ca",18,840000,0.0195,0.0307,1444,-0.1053,-0.3907,35,-0.0141,-0.0789,2596,0.2954,-0.1061,336,0.3333,0.0244,252,-0.2125,-0.5116,2590,-0.2036,-0.2499,537,0.0353,0.063,1638,-0.0177,-0.0443,1797133,0.0814,0.0182,3889,-0.2009,-0.3321,1.7936,-0.2212,0.3367,0
202201,41180,"st. louis, mo-il",19,249000,0.0163,0.0126,3021,-0.1378,-0.2526,63,0.0957,-0.1818,2596,0.1694,-0.0974,288,1.1176,-0.3394,684,-0.1618,-0.2047,3804,-0.1784,-0.1687,147,0.023,0.0796,1600,-0.0074,-0.0783,344529,0.0078,0.0088,6805,-0.1634,-0.2104,1.2592,-0.0622,0.1271,0
202201,19740,"denver-aurora-lakewood, co",20,639900,0.0158,0.2096,1384,-0.2575,-0.3964,35,-0.2308,-0.2857,2656,0.1964,-0.2589,252,0.1887,-0.2841,236,-0.5426,-0.6144,3593,-0.206,-0.2107,308,0.0487,0.1065,2192,-0.0023,0.1672,1006692,0.1064,0.2072,4833,-0.2435,-0.3036,2.5961,0.1685,0.6109,0
202201,12580,"baltimore-columbia-towson, md",21,299000,-0.0392,-0.0653,2842,-0.1743,-0.1312,56,0.1313,-0.0667,2692,0.082,-0.0905,416,0.0833,-0.3697,844,-0.1947,-0.1172,4167,-0.1727,-0.1714,192,0,0.0457,1668,-0.0191,-0.0496,427005,-0.004,-0.0575,6949,-0.1804,-0.1667,1.4662,0.0028,-0.0712,0
202201,38300,"pittsburgh, pa",22,209900,-5.00E-04,-0.138,2934,-0.1503,-0.1237,79,0.2248,-0.092,1556,0.0716,-0.1016,44,0,-0.2143,660,-0.2361,-0.0833,3033,-0.1454,-0.0566,142,-0.0116,-0.0565,1580,0.0064,-0.0673,349138,0.0297,-0.0677,5928,-0.1535,-0.0911,1.0337,0.0059,0.0735,1
202201,38900,"portland-vancouver-hillsboro, or-wa",23,550000,0.0018,0.1,1850,-0.2285,-0.2558,47,0,-0.1607,2536,0.1612,-0.1501,1524,-0.2029,0.0026,1060,-0.2779,-0.177,4137,-0.1708,-0.1003,305,0.0222,0.1425,1850,-0.007,-0.0498,740897,0.0207,0.0747,5940,-0.1959,-0.164,2.2362,0.1557,0.3867,0
202201,16740,"charlotte-concord-gastonia, nc-sc",24,399950,0.0125,0.0853,2036,-0.1991,-0.3402,45,0.125,-0.1818,2268,0.0161,-0.1263,320,-0.0476,-0.6787,400,-0.3789,-0.4764,2400,-0.1345,-0.2583,199,0.0225,0.1773,2010,0.0065,-0.0864,537013,0.0215,0.0478,4412,-0.1701,-0.2954,1.1788,0.0879,0.1302,0
202201,36740,"orlando-kissimmee-sanford, fl",25,395000,0.0143,0.25,2797,-0.1535,-0.5245,46,0,-0.3429,3584,0.0492,0.0228,472,0.4048,-0.2934,652,-0.1044,-0.5595,5652,-0.0459,-0.0088,211,0.02,0.251,1846,-0.0046,-0.0011,552680,0.0337,0.1876,8481,-0.081,-0.2666,2.0207,0.2278,1.0513,0
