week_end_date,cbsa_code,cbsa_title,hh_rank,median_listing_price_yy,active_listing_count_yy,median_days_on_market_by_day_yy,median_days_on_market_yy,new_listing_count_yy,new_listing_share_yy,price_reduced_count_yy,price_reduced_share_yy
5-Feb-22,35620,"new york-newark-jersey city, ny-nj-pa",1,5.50%,-15.20%,-12,-14.00%,25.40%,1.90%,-10.10%,0.00%
5-Feb-22,31080,"los angeles-long beach-anaheim, ca",2,-9.20%,-36.70%,-9,-23.10%,-11.00%,2.40%,-53.90%,-0.80%
5-Feb-22,16980,"chicago-naperville-elgin, il-in-wi",3,-5.60%,-29.80%,-4,-7.00%,-14.30%,1.00%,-25.70%,-0.10%
5-Feb-22,19100,"dallas-fort worth-arlington, tx",4,18.30%,-43.30%,-7,-14.90%,-44.10%,-3.10%,-52.60%,-0.70%
5-Feb-22,26420,"houston-the woodlands-sugar land, tx",5,8.10%,-24.90%,-5,-8.90%,-26.10%,-1.40%,-27.00%,-0.40%
5-Feb-22,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,-7.70%,-10.60%,-6,-8.80%,14.00%,1.50%,-2.50%,0.10%
5-Feb-22,47900,"washington-arlington-alexandria, dc-va-md-wv",7,8.30%,-18.40%,-3,-6.30%,1.00%,2.00%,-24.80%,-0.20%
5-Feb-22,33100,"miami-fort lauderdale-west palm beach, fl",8,27.70%,-55.40%,-32,-35.20%,-13.80%,2.00%,-64.50%,-1.10%
5-Feb-22,12060,"atlanta-sandy springs-roswell, ga",9,8.60%,-18.10%,-4,-8.20%,-12.50%,-0.30%,-11.80%,0.00%
5-Feb-22,14460,"boston-cambridge-newton, ma-nh",10,11.20%,-29.10%,-16,-34.80%,-1.10%,4.90%,-30.00%,-0.10%
5-Feb-22,41860,"san francisco-oakland-hayward, ca",11,-0.50%,-24.40%,-9,-33.30%,-1.70%,3.10%,-42.10%,-0.50%
5-Feb-22,19820,"detroit-warren-dearborn, mi",12,-16.20%,-8.50%,-1,-2.00%,-13.10%,-0.50%,10.40%,0.70%
5-Feb-22,38060,"phoenix-mesa-scottsdale, az",13,16.00%,9.80%,-6,-15.40%,24.40%,2.10%,3.60%,0.00%
5-Feb-22,42660,"seattle-tacoma-bellevue, wa",14,10.80%,-37.60%,-25,-52.10%,-5.00%,3.10%,-65.30%,-0.70%
5-Feb-22,33460,"minneapolis-st. paul-bloomington, mn-wi",15,9.80%,-25.80%,-1,-2.00%,5.00%,1.70%,-11.60%,0.00%
5-Feb-22,40140,"riverside-san bernardino-ontario, ca",16,10.90%,0.50%,-4,-10.80%,10.00%,2.00%,26.10%,0.40%
5-Feb-22,45300,"tampa-st. petersburg-clearwater, fl",17,28.30%,-38.80%,-12,-22.20%,-4.00%,1.30%,-51.00%,-1.10%
5-Feb-22,41740,"san diego-carlsbad, ca",18,3.00%,-33.80%,-4,-13.80%,-9.00%,2.80%,-57.40%,-0.70%
5-Feb-22,41180,"st. louis, mo-il",19,2.20%,-24.20%,-15,-19.00%,-28.60%,-0.80%,-54.40%,-1.10%
5-Feb-22,19740,"denver-aurora-lakewood, co",20,18.00%,-32.50%,-7,-31.80%,-10.10%,2.30%,-66.70%,-0.90%
5-Feb-22,12580,"baltimore-columbia-towson, md",21,-4.70%,-10.00%,-7,-12.30%,-2.10%,1.20%,1.60%,0.40%
5-Feb-22,38300,"pittsburgh, pa",22,-16.00%,-11.70%,-3,-3.40%,-10.90%,0.00%,-17.90%,-0.20%
5-Feb-22,38900,"portland-vancouver-hillsboro, or-wa",23,8.50%,-18.60%,-9,-20.00%,-7.60%,0.80%,5.90%,0.80%
5-Feb-22,16740,"charlotte-concord-gastonia, nc-sc",24,8.40%,-32.30%,-5,-11.40%,-17.50%,2.00%,-35.20%,-0.20%
5-Feb-22,36740,"orlando-kissimmee-sanford, fl",25,26.70%,-49.80%,-23,-34.80%,0.20%,2.40%,-58.60%,-1.20%
5-Feb-22,17460,"cleveland-elyria, oh",26,-14.60%,-12.40%,-8,-11.10%,-24.10%,-1.20%,-48.30%,-1.00%
5-Feb-22,41700,"san antonio-new braunfels, tx",27,14.80%,-20.20%,-3,-5.10%,-28.50%,-2.20%,-28.40%,-0.40%
5-Feb-22,17140,"cincinnati, oh-ky-in",28,5.70%,-15.80%,4,6.50%,-10.70%,0.60%,-20.80%,-0.10%
5-Feb-22,40900,"sacramento--roseville--arden-arcade, ca",29,14.20%,-3.10%,-2,-6.50%,-1.10%,1.00%,15.70%,0.40%
5-Feb-22,28140,"kansas city, mo-ks",30,11.50%,-4.60%,7,10.00%,8.30%,1.00%,-24.30%,-0.30%
