month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202201,idaho,id,569900,0.0402,0.2807,2474,-0.2755,0.3891,63,0.125,0.0678,2172,0.0948,0.1553,212,0.3947,0.0192,532,-0.4192,1.1803,4083,-0.0953,0.0964,278,0.0212,0.2201,2148,0.0103,0.0287,897728,0.0679,0.0071,6520,-0.1776,0.1712,1.6504,0.3288,-0.4406,1
202201,maine,me,339000,0.0195,0.173,1845,-0.2027,-0.3899,93,0.1923,-0.0412,728,-0.1333,-0.2835,68,0.3077,-0.1905,172,-0.4189,-0.4416,692,-0.1663,-0.2654,205,0.006,0.1696,1610,-0.0195,-0.0388,518928,-0.0059,0.1581,2537,-0.1931,-0.3561,0.3751,0.0164,0.0636,0
202201,illinois,il,249000,-0.0214,-0.0231,17681,-0.1702,-0.3224,64,0.1429,-0.0986,12068,0.1758,-0.2012,500,0.1468,-0.349,3372,-0.2546,-0.3737,16731,-0.1524,-0.1405,156,-0.0102,0.0572,1545,-0.0187,-0.0475,400607,0.0126,-0.0061,34576,-0.1576,-0.241,0.9463,0.0199,0.2003,0
202201,california,ca,684000,-7.00E-04,-0.05,23615,-0.1531,-0.277,44,-0.0112,-0.1538,28792,0.3045,-0.1232,2264,0.0699,-0.1424,4076,-0.188,-0.2992,31471,-0.1924,-0.2318,405,0.006,-0.0493,1735,-0.0108,-0.0457,1542015,0.0455,-0.0362,54259,-0.1884,-0.2566,1.3327,-0.0648,0.0784,0
202201,indiana,in,230000,2.00E-04,0.1506,6508,-0.1299,-0.1627,56,0.1789,-0.1111,5052,-0.0086,0.0293,312,0.5294,0.1143,1936,-0.1509,-0.1464,5023,-0.1989,-0.0503,126,0.0174,0.1618,1802,-0.0115,0.0011,314188,0.0038,0.1315,11434,-0.1684,-0.1197,0.7718,-0.0664,0.0914,0
202201,west virginia,wv,175000,-0.006,0.0938,2507,-0.1635,-0.296,80,0.1679,-0.1489,916,-0.2392,-0.2392,120,0.5789,0.0345,348,-0.2162,-0.281,2155,-0.1139,0.0165,104,-3.00E-04,0.1288,1693,-0.0174,-0.0309,269276,0.0127,0.0898,4662,-0.1413,-0.1784,0.8596,0.0481,0.2643,0
202201,massachusetts,ma,665000,0.0552,0.0407,4570,-0.2363,-0.3562,62,0.1273,-0.1268,3756,0.1073,-0.2188,172,0.0238,-0.3582,696,-0.3012,-0.3718,1948,-0.2164,-0.2319,380,0.0254,0.0688,1713,0.0059,-0.0398,1270981,0.0664,0.0709,6502,-0.2364,-0.322,0.4263,0.0108,0.069,0
202201,maryland,md,349900,-0.0253,0.0291,5744,-0.1843,-0.1646,56,0.1313,-0.0667,5480,0.0779,-0.1156,876,0.0788,-0.2866,1444,-0.2663,-0.1739,8572,-0.1827,-0.1792,205,-0.0046,0.0709,1717,-0.0121,-0.0266,489931,0.0068,-0.0215,14144,-0.1932,-0.182,1.4923,0.003,-0.0266,0
202201,florida,fl,424900,0.013,0.2245,41160,-0.1249,-0.4928,56,0.1089,-0.2533,39008,0.1402,-0.077,4812,0.2557,-0.4062,8440,-0.1172,-0.4938,63497,-0.0505,0.0033,254,0.0157,0.2032,1638,-0.0088,0.0142,986187,0.0473,0.2819,104657,-0.0812,-0.2754,1.5427,0.1209,0.7628,0
202201,south dakota,sd,302000,0.0508,0.2589,1285,-0.1715,-0.2559,60,0.1765,-0.0323,692,0.2721,-0.0598,40,1,0,88,-0.3125,-0.3333,506,-0.2656,-0.1718,176,0.0669,0.2924,1714,-0.0092,-0.0261,415589,0.0751,0.3366,1811,-0.1915,-0.2264,0.3938,-0.0505,0.04,0
