,NEIGHBORHOOD,ENCODED_VALUE
0,ALPHABET CITY,1
3,ALPHABET CITY,1
4,ALPHABET CITY,1
6,ALPHABET CITY,1
10,ALPHABET CITY,1
11,ALPHABET CITY,1
12,ALPHABET CITY,1
13,ALPHABET CITY,1
14,ALPHABET CITY,1
15,ALPHABET CITY,1
17,ALPHABET CITY,1
18,ALPHABET CITY,1
19,ALPHABET CITY,1
202,CHELSEA,39
203,CHELSEA,39
206,CHELSEA,39
207,CHELSEA,39
208,CHELSEA,39
209,CHELSEA,39
210,CHELSEA,39
212,CHELSEA,39
214,CHELSEA,39
215,CHELSEA,39
223,CHELSEA,39
224,CHELSEA,39
225,CHELSEA,39
227,CHELSEA,39
228,CHELSEA,39
230,CHELSEA,39
231,CHELSEA,39
232,CHELSEA,39
234,CHELSEA,39
236,CHELSEA,39
239,CHELSEA,39
240,CHELSEA,39
241,CHELSEA,39
242,CHELSEA,39
243,CHELSEA,39
244,CHELSEA,39
245,CHELSEA,39
246,CHELSEA,39
249,CHELSEA,39
250,CHELSEA,39
1129,CHELSEA,39
1276,CHELSEA,39
1277,CHELSEA,39
1278,CHELSEA,39
1279,CHELSEA,39
1280,CHELSEA,39
1281,CHELSEA,39
1282,CHELSEA,39
1283,CHELSEA,39
1284,CHELSEA,39
1286,CHELSEA,39
1289,CHELSEA,39
1291,CHELSEA,39
1292,CHELSEA,39
1295,CHELSEA,39
1296,CHELSEA,39
1297,CHELSEA,39
1298,CHELSEA,39
1299,CHELSEA,39
1301,CHELSEA,39
1331,CHINATOWN,40
1333,CHINATOWN,40
1335,CHINATOWN,40
1405,CHINATOWN,40
1406,CHINATOWN,40
1407,CHINATOWN,40
1409,CHINATOWN,40
1410,CHINATOWN,40
1411,CHINATOWN,40
1412,CHINATOWN,40
1706,CIVIC CENTER,43
1708,CIVIC CENTER,43
1709,CIVIC CENTER,43
1724,CLINTON,44
1725,CLINTON,44
1726,CLINTON,44
1727,CLINTON,44
1733,CLINTON,44
1734,CLINTON,44
1737,CLINTON,44
1738,CLINTON,44
1740,CLINTON,44
1741,CLINTON,44
1742,CLINTON,44
1988,CLINTON,44
2032,CLINTON,44
2033,CLINTON,44
2034,CLINTON,44
2035,CLINTON,44
2036,CLINTON,44
2037,CLINTON,44
2038,CLINTON,44
2039,CLINTON,44
2040,CLINTON,44
2041,CLINTON,44
2050,EAST VILLAGE,69
2051,EAST VILLAGE,69
2052,EAST VILLAGE,69
2055,EAST VILLAGE,69
2057,EAST VILLAGE,69
2058,EAST VILLAGE,69
2059,EAST VILLAGE,69
2060,EAST VILLAGE,69
2061,EAST VILLAGE,69
2062,EAST VILLAGE,69
2063,EAST VILLAGE,69
2064,EAST VILLAGE,69
2065,EAST VILLAGE,69
2066,EAST VILLAGE,69
2069,EAST VILLAGE,69
2070,EAST VILLAGE,69
2071,EAST VILLAGE,69
2072,EAST VILLAGE,69
2073,EAST VILLAGE,69
2074,EAST VILLAGE,69
2075,EAST VILLAGE,69
2081,EAST VILLAGE,69
2082,EAST VILLAGE,69
2083,EAST VILLAGE,69
2085,EAST VILLAGE,69
2086,EAST VILLAGE,69
2252,EAST VILLAGE,69
